priority,organization_or_site,opportunity_type,target_page,proposed_destination,contact,status,last_action,next_action,evidence_url,notes
1,State Bar of California,Profile correction or website link,Attorney profile,https://chigbulaws.com/,,verify,2026-07-21,Confirm profile website and NAP,,Existing verified identity source; do not create duplicate profiles
1,Google Business Profile,Primary website and appointment links,GBP listing,https://chigbulaws.com/,,verify,2026-07-21,Confirm primary URL and remove old Squarespace paths,,Use exact NAP shown on website
1,Elk Grove Chamber of Commerce,Member directory profile,Member listing,https://chigbulaws.com/,,research,2026-07-21,Check genuine membership eligibility and directory terms,,Only pursue with real membership or participation
1,Sacramento County Bar Association,Attorney directory or member profile,Member listing,https://chigbulaws.com/about.html,,research,2026-07-21,Confirm membership and available profile link,,Professional relevance
2,Local nonprofit or community organization,Board volunteer sponsor or resource page,Organization site,https://chigbulaws.com/about.html,,research,2026-07-21,Ask Clifford for genuine affiliations,,Best link source is an authentic relationship
2,Elk Grove local media,Expert commentary,Relevant legal news article,Relevant service or blog URL,,prospect,2026-07-21,Pitch a concise local expert quote tied to current story,,No payment for editorial links
2,Sacramento local media,Expert commentary,Relevant legal news article,Relevant service or blog URL,,prospect,2026-07-21,Build reporter list by family immigration business and injury beats,,Offer useful facts not promotional copy
2,Alumni association,Alumni business or professional profile,Directory profile,https://chigbulaws.com/about.html,,research,2026-07-21,Verify school and alumni eligibility,,Never infer schools not confirmed by Clifford
2,Legal directories,Accurate attorney profile,Directory profile,https://chigbulaws.com/about.html,,audit,2026-07-21,Audit Avvo Justia FindLaw Lawyers.com and Bing Places for accuracy,,Avoid paid link packages unless independently valuable
3,Local event organization,Speaker sponsor or participant page,Event page,Relevant practice page,,prospect,2026-07-21,Identify genuine workshops clinics and community events,,Disclose sponsorship where applicable
3,Local business partners,Vendor partner resource profile,Partner page,https://chigbulaws.com/business-law.html,,research,2026-07-21,Ask for links only where a real relationship exists,,No reciprocal sitewide link exchange
3,Resource-page corrections,Broken or outdated link replacement,Existing local resource page,Relevant current Chigbu guide,,research,2026-07-21,Find pages linking to obsolete California legal resources and offer a superior guide,,Must be genuinely useful and fact checked
